name,email,specialization
Jacek Wozniak,jacek.wozniak@gmail.com,Industrial
Blazej Rutkowski,blazej.rutkowski@gmail.com,Life
Alicja Gorska,alicja.gorska@gmail.com,Industrial
Aleksander Tomaszewski,aleksander.tomaszewski@gmail.com,Industrial
Aneta Dabrowska,aneta.dabrowska@gmail.com,Travel
Janina Jablonska,janina.jablonska@gmail.com,Travel
Kacper Kowalski,kacper.kowalski@gmail.com,Agricultural
Julia Zalewska,julia.zalewska@gmail.com,Agricultural
Laura Tomaszewska,laura.tomaszewska@gmail.com,Health
Irena Wojciechowska,irena.wojciechowska@gmail.com,Health
Ewa Baran,ewa.baran@gmail.com,Health
Lucyna Witkowska,lucyna.witkowska@gmail.com,Other
Aleksander Adamczyk,aleksander.adamczyk@gmail.com,Property
Barbara Jankowska,barbara.jankowska@gmail.com,Health
Bartlomiej Szymanski,bartlomiej.szymanski@gmail.com,Property
Czeslawa Walczak,czeslawa.walczak@gmail.com,Health
Helena Dudek,helena.dudek@gmail.com,Travel
Lukasz Witkowski,lukasz.witkowski@gmail.com,Property
Beata Krawczyk,beata.krawczyk@gmail.com,Industrial
Boleslaw Majewski,boleslaw.majewski@gmail.com,Agricultural
Helena Piotrowska,helena.piotrowska@gmail.com,Other
Kinga Dudek,kinga.dudek@gmail.com,Property
Bogdan Piotrowski,bogdan.piotrowski@gmail.com,Property
Antoni Mazur,antoni.mazur@gmail.com,Property
Lukasz Kaczmarek,lukasz.kaczmarek@gmail.com,Other
Katarzyna Wieczorek,katarzyna.wieczorek@gmail.com,Property
Maciej Stepien,maciej.stepien@gmail.com,Other
