name,email,phone_number,branch
Anita Krawczyk,anita.krawczyk@gmail.com,48745091578,Poznan
Jadwiga Kaczmarek,jadwiga.kaczmarek@gmail.com,48520579745,Warszawa
Aleksandra Lewandowska,aleksandra.lewandowska@gmail.com,48544888145,Lodz
Marta Mazur,marta.mazur@gmail.com,48610562633,Gdansk
Dariusz Piotrowski,dariusz.piotrowski@gmail.com,48796833855,Poznan
Bozena Zalewska,bozena.zalewska@gmail.com,48507501763,Krakow
Mateusz Nowak,mateusz.nowak@gmail.com,48607719503,Krakow
Barbara Olszewska,barbara.olszewska@gmail.com,48729131437,Krakow
Bogdan Lewandowski,bogdan.lewandowski@gmail.com,48622013138,Krakow
Maria Baran,maria.baran@gmail.com,48753262785,Lodz
Celina Rutkowska,celina.rutkowska@gmail.com,48609436083,Warszawa
Aneta Sikora,aneta.sikora@gmail.com,48586733827,Warszawa
Jakub Stepien,jakub.stepien@gmail.com,48520927961,Poznan
Jaroslaw Grabowski,jaroslaw.grabowski@gmail.com,48657814971,Gdansk
Adrian Zalewski,adrian.zalewski@gmail.com,48801591268,Poznan
Karol Jaworski,karol.jaworski@gmail.com,48698665756,Gdansk
Aneta Zajac,aneta.zajac@gmail.com,48742434119,Warszawa
Edyta Baran,edyta.baran@gmail.com,48789373527,Lodz
Kajetan Nowicki,kajetan.nowicki@gmail.com,48616699686,Gdansk
Bogumila Mazur,bogumila.mazur@gmail.com,48646675721,Krakow
Lukasz Piotrowski,lukasz.piotrowski@gmail.com,48692540587,Lodz
Barbara Stepien,barbara.stepien@gmail.com,48608420207,Krakow
Adrian Malinowski,adrian.malinowski@gmail.com,48577456561,Krakow
Jacek Pietrzak,jacek.pietrzak@gmail.com,48721148963,Krakow
Dariusz Michalski,dariusz.michalski@gmail.com,48650024997,Poznan
Emil Dabrowski,emil.dabrowski@gmail.com,48744909481,Krakow
Dagmara Malinowska,dagmara.malinowska@gmail.com,48513567586,Warszawa
Jan Wrobel,jan.wrobel@gmail.com,48562355300,Poznan
Kazimierz Dudek,kazimierz.dudek@gmail.com,48564514395,Gdansk
Krystyna Nowak,krystyna.nowak@gmail.com,48659846407,Warszawa
Kazimiera Kaczmarek,kazimiera.kaczmarek@gmail.com,48695580076,Krakow
Cezary Pawlowski,cezary.pawlowski@gmail.com,48666594625,Warszawa
Grazyna Jaworska,grazyna.jaworska@gmail.com,48766192932,Poznan
Dagmara Piotrowska,dagmara.piotrowska@gmail.com,48712343884,Warszawa
Halina Wrobel,halina.wrobel@gmail.com,48631483583,Krakow
Edward Michalak,edward.michalak@gmail.com,48620970884,Gdansk
Cezary Stepien,cezary.stepien@gmail.com,48501286530,Gdansk
Natalia Sikora,natalia.sikora@gmail.com,48735462304,Lodz
Gabriela Kaminska,gabriela.kaminska@gmail.com,48519156410,Krakow
Maciej Pietrzak,maciej.pietrzak@gmail.com,48767680301,Warszawa
Kazimierz Pawlowski,kazimierz.pawlowski@gmail.com,48689157496,Krakow
Ireneusz Kowalczyk,ireneusz.kowalczyk@gmail.com,48647726573,Krakow
Grazyna Malinowska,grazyna.malinowska@gmail.com,48730607268,Krakow
Anita Witkowska,anita.witkowska@gmail.com,48809504268,Warszawa
Bozena Kowalska,bozena.kowalska@gmail.com,48736342627,Poznan
Czeslawa Wroblewska,czeslawa.wroblewska@gmail.com,48746205820,Gdansk
Aleksander Adamczyk,aleksander.adamczyk@gmail.com,48776780997,Warszawa
Hanna Kowalczyk,hanna.kowalczyk@gmail.com,48698248381,Warszawa
Kamila Zajac,kamila.zajac@gmail.com,48654217162,Krakow
Aneta Kwiatkowska,aneta.kwiatkowska@gmail.com,48697807958,Krakow
Anna Walczak,anna.walczak@gmail.com,48811637195,Lodz
Emil Kaminski,emil.kaminski@gmail.com,48725706606,Warszawa
Danuta Majewska,danuta.majewska@gmail.com,48693503375,Poznan
Adrian Olszewski,adrian.olszewski@gmail.com,48582591692,Warszawa
Grzegorz Krol,grzegorz.krol@gmail.com,48727012835,Warszawa
