policy_id,insurance_price,minimal_payout,maximal_payout,duration_of_policy
943073,100,10000,293267,309
335273,150,15000,170103,329
557540,200,20000,106520,278
505781,100,10000,469418,302
712529,200,20000,482533,234
321032,150,15000,411108,244
436254,200,20000,313113,61
687787,50,5000,419371,364
254463,150,15000,473584,10
303845,50,5000,327615,252
978601,100,10000,218347,199
826611,350,35000,383577,72
911109,50,5000,276540,196
893606,200,20000,129127,110
753478,50,5000,496833,279
975567,350,35000,326727,85
524027,200,20000,433849,49
392270,200,20000,103756,51
784991,50,5000,197581,308
833365,350,35000,153111,42
723723,50,5000,206457,213
728529,200,20000,463378,55
880234,350,35000,344496,7
904791,200,20000,111747,123
596879,350,35000,141072,220
661969,200,20000,282861,173
847333,350,35000,192276,250
405452,350,35000,232143,26
320940,200,20000,478788,334
441785,350,35000,111359,298
585227,100,10000,422985,133
746491,50,5000,124747,334
344293,200,20000,349596,147
526740,200,20000,166224,295
148838,350,35000,492504,115
238334,350,35000,119998,81
796625,200,20000,345177,221
782014,150,15000,196301,157
925424,350,35000,367655,199
937343,100,10000,463766,164
268027,150,15000,299482,136
893031,350,35000,282946,340
110266,200,20000,200999,176
676365,100,10000,114448,210
672112,350,35000,161595,2
657100,200,20000,353258,161
182166,200,20000,177162,113
588369,200,20000,404093,7
756044,50,5000,410412,316
292113,200,20000,359964,119
954685,50,5000,491167,289
529672,50,5000,353424,307
392762,200,20000,364433,29
407070,150,15000,247228,85
863313,100,10000,227293,143
453599,150,15000,452184,137
366434,150,15000,223832,250
868864,100,10000,336162,337
404012,50,5000,335197,140
469327,50,5000,378087,39
376641,150,15000,308872,24
655929,150,15000,133521,307
905487,50,5000,190659,64
432541,350,35000,276092,200
717087,100,10000,387136,245
962295,200,20000,417455,270
679855,50,5000,361732,263
172057,350,35000,486947,95
932261,100,10000,473540,324
482690,150,15000,188625,276
796354,200,20000,437365,305
502963,100,10000,447497,132
936378,50,5000,455295,3
452849,150,15000,458303,173
273571,200,20000,350439,228
740225,200,20000,492674,259
499158,150,15000,433109,65
162101,50,5000,456801,33
206038,150,15000,378319,310
900369,150,15000,107217,6
123401,350,35000,217831,29
881892,350,35000,152443,52
410436,200,20000,298182,274
926954,350,35000,408681,279
204396,200,20000,224845,269
461945,50,5000,215897,266
778981,100,10000,153756,177
200467,200,20000,136522,258
138351,350,35000,253464,289
538407,350,35000,479436,110
554760,50,5000,489385,226
652641,100,10000,330447,51
409697,150,15000,106713,173
841229,50,5000,373297,171
237583,100,10000,215893,206
577118,100,10000,177574,175
715933,200,20000,123517,122
397476,50,5000,446703,330
392654,100,10000,204125,100
991135,150,15000,428105,42
666742,100,10000,170382,77
960312,100,10000,467073,172
152618,100,10000,217794,195
552087,150,15000,330181,151
521055,200,20000,346871,268
680436,50,5000,202787,73
629487,200,20000,164325,97
886574,150,15000,213913,81
373850,100,10000,235124,37
865328,350,35000,170436,54
535627,50,5000,473277,328
602007,150,15000,163471,260
547256,150,15000,233271,173
294179,100,10000,339814,320
373971,200,20000,179634,2
701676,50,5000,174789,343
997429,200,20000,247248,123
320809,350,35000,288419,34
257237,150,15000,134950,310
946848,100,10000,109897,252
208936,150,15000,362819,125
426901,100,10000,224129,4
782344,100,10000,246922,3
979737,150,15000,376502,26
251959,100,10000,416647,134
163288,50,5000,104197,303
486291,350,35000,207600,305
768106,150,15000,237654,88
263486,100,10000,318523,265
316976,350,35000,197178,201
732874,150,15000,401248,290
911295,200,20000,360179,342
748826,350,35000,266824,207
156817,350,35000,286865,37
885829,50,5000,371738,104
106396,100,10000,206525,140
245366,100,10000,292573,219
752449,50,5000,452816,49
789821,50,5000,192909,70
902733,100,10000,198389,290
128991,50,5000,166342,79
883889,350,35000,167531,308
147893,150,15000,341022,104
893661,100,10000,302542,115
869316,200,20000,332966,74
291862,50,5000,316939,203
708928,200,20000,181698,201
108646,100,10000,406199,306
788581,200,20000,193214,79
641201,50,5000,369630,77
686496,350,35000,219446,183
665999,350,35000,204570,7
100031,350,35000,309767,229
103607,150,15000,439474,56
228387,50,5000,473847,94
127199,50,5000,366172,329
161580,150,15000,410639,134
264587,350,35000,338127,172
297703,150,15000,361697,136
431325,100,10000,294719,295
437621,350,35000,247223,7
321669,150,15000,138246,79
547038,350,35000,441458,255
469325,50,5000,334273,145
342236,350,35000,391762,264
224879,200,20000,275731,130
835635,100,10000,208740,73
613652,100,10000,328276,348
401063,200,20000,391469,74
155114,350,35000,407938,110
815278,350,35000,309864,164
802664,50,5000,473258,95
865564,150,15000,162015,42
798945,200,20000,416520,201
561288,100,10000,446505,180
243548,100,10000,496718,347
122033,200,20000,244475,207
674520,50,5000,373289,18
781103,50,5000,133779,207
491382,50,5000,457072,3
358612,200,20000,185414,255
516178,100,10000,138042,247
565696,200,20000,305135,273
794192,100,10000,492490,181
649753,50,5000,197870,317
618941,350,35000,232370,75
776158,100,10000,371239,315
105439,50,5000,318801,131
279494,200,20000,264053,52
618207,350,35000,322973,200
525935,100,10000,334006,5
780823,50,5000,296981,254
223797,50,5000,434514,126
449723,50,5000,325413,179
173461,50,5000,135081,263
877423,150,15000,316433,169
363758,350,35000,497648,130
638366,100,10000,459875,266
582372,200,20000,374025,94
416002,100,10000,391187,32
288107,100,10000,321879,278
353339,200,20000,496445,1
873043,100,10000,446911,174
366866,350,35000,280631,110
146646,100,10000,138528,37
871719,100,10000,266899,92
356902,50,5000,208717,195
166692,50,5000,167046,265
218824,350,35000,476132,77
756545,350,35000,118981,141
445218,100,10000,385920,245
948664,50,5000,293588,252
547980,100,10000,270100,2
974696,100,10000,156966,2
191247,350,35000,133257,181
190835,50,5000,354240,49
736624,100,10000,290304,126
405209,50,5000,334815,311
766782,50,5000,284731,191
800109,200,20000,216975,169
533124,350,35000,424705,45
129929,100,10000,256582,253
214017,200,20000,204141,322
270381,350,35000,155851,31
269072,200,20000,158732,74
572914,350,35000,118849,86
418970,350,35000,186095,125
275920,350,35000,305555,282
286068,100,10000,380324,194
344925,100,10000,187668,243
255484,150,15000,143104,69
661977,50,5000,158941,132
479245,50,5000,326228,233
765817,200,20000,261778,72
139286,150,15000,492160,279
288634,200,20000,479596,359
364051,200,20000,285613,49
218068,150,15000,417359,93
818875,350,35000,199361,42
185257,50,5000,355099,33
689869,200,20000,243048,116
793423,100,10000,106716,175
272991,100,10000,379158,343
283440,350,35000,456116,304
331518,50,5000,375039,203
935008,150,15000,294809,69
916754,200,20000,189635,293
660572,50,5000,470859,235
350549,150,15000,203600,48
642997,50,5000,482545,229
686169,100,10000,463208,88
793348,50,5000,410917,185
589376,350,35000,289495,183
900279,100,10000,179352,40
204070,100,10000,382629,131
691876,350,35000,402231,108
243645,100,10000,442812,354
498680,350,35000,211444,305
807414,50,5000,169282,271
652445,200,20000,161970,254
422089,350,35000,356897,138
780947,100,10000,495728,47
901307,350,35000,465248,102
198275,50,5000,380398,293
484926,100,10000,427074,184
295262,200,20000,150866,230
363851,350,35000,368447,41
589839,150,15000,264460,276
430209,100,10000,164358,6
322423,50,5000,310086,274
347917,350,35000,327919,157
752719,350,35000,381679,95
379958,350,35000,412493,188
402793,200,20000,166841,59
850821,350,35000,435464,215
338462,200,20000,376059,206
791364,200,20000,354213,203
491264,150,15000,129804,171
994000,100,10000,456687,28
976182,350,35000,107095,206
929397,150,15000,432295,313
657582,100,10000,414790,180
500209,350,35000,270083,119
550679,50,5000,286421,10
956025,100,10000,398664,170
145396,50,5000,468547,363
634006,50,5000,188264,69
185384,350,35000,359857,273
161949,100,10000,478810,359
491805,350,35000,442913,129
897043,350,35000,422547,307
723768,350,35000,408878,355
928505,100,10000,187221,179
546107,350,35000,246235,95
227853,150,15000,276387,186
315389,200,20000,286459,261
389910,50,5000,304741,50
226713,150,15000,141248,357
377975,100,10000,115575,354
846820,150,15000,362512,287
503788,50,5000,275516,247
697594,150,15000,398065,6
628260,50,5000,460469,224
250217,350,35000,340282,306
259213,150,15000,160545,7
269617,150,15000,343832,156
794136,50,5000,247042,238
304202,100,10000,339673,12
637905,100,10000,489114,167
618893,50,5000,243600,26
923116,50,5000,403983,120
998846,350,35000,305080,171
667145,100,10000,449320,362
537637,50,5000,473928,87
840265,350,35000,451278,271
327401,150,15000,240066,153
950568,50,5000,468849,313
185971,150,15000,393628,87
709660,200,20000,425415,140
980055,50,5000,249585,329
335713,50,5000,357078,9
641115,50,5000,154553,26
523475,200,20000,305050,1
877514,50,5000,192980,240
541172,100,10000,260811,265
447815,350,35000,183364,277
355252,350,35000,463905,214
112879,100,10000,119986,136
717669,200,20000,451215,363
670449,200,20000,164086,237
430441,350,35000,444552,350
212691,150,15000,165780,224
944363,350,35000,417344,13
491149,50,5000,240372,319
984471,50,5000,145565,306
389879,150,15000,180443,119
753696,50,5000,433041,340
909355,150,15000,125003,292
392345,50,5000,161119,225
767354,50,5000,474997,232
217185,100,10000,113951,79
808559,150,15000,272299,287
470469,200,20000,237905,310
265723,350,35000,134661,178
437476,200,20000,427643,105
175184,150,15000,493507,355
633121,350,35000,140512,92
769215,50,5000,460715,315
689566,100,10000,425798,21
474896,50,5000,482796,313
541035,150,15000,126231,286
146386,150,15000,326246,209
568728,100,10000,338436,134
608489,50,5000,401456,294
747534,200,20000,139794,41
774996,100,10000,335624,155
449855,200,20000,433058,253
633809,150,15000,177295,175
585494,150,15000,137499,183
687791,350,35000,323136,262
376229,350,35000,181528,46
346536,200,20000,232031,324
259911,150,15000,253757,286
207942,150,15000,403237,83
119279,50,5000,475926,6
650862,50,5000,376868,6
731704,100,10000,103045,133
189128,100,10000,189030,123
747332,150,15000,280632,242
787889,100,10000,166336,327
108276,100,10000,319587,135
369078,100,10000,414755,322
520530,100,10000,450849,64
816650,150,15000,365794,255
801721,100,10000,446872,360
957773,200,20000,392033,18
757076,100,10000,462361,99
124358,100,10000,499659,74
757238,350,35000,128711,151
819295,350,35000,227719,101
169480,100,10000,196218,82
167196,100,10000,260670,356
474830,50,5000,476030,162
203481,100,10000,375578,294
353336,50,5000,229490,48
245671,150,15000,261676,266
339072,100,10000,256526,145
478297,100,10000,401532,11
261651,150,15000,191729,345
382199,100,10000,310494,324
148604,200,20000,303517,8
218307,50,5000,161135,53
527373,200,20000,245612,131
157600,100,10000,342489,47
463847,350,35000,230823,175
664647,200,20000,439773,35
829750,200,20000,223312,90
216720,200,20000,280657,230
540644,100,10000,485124,304
676440,200,20000,361057,241
413347,350,35000,362016,295
961102,200,20000,488868,270
672266,150,15000,328801,199
849136,350,35000,287445,168
930046,350,35000,142684,47
547474,100,10000,184374,77
801167,350,35000,475794,129
676093,100,10000,312811,117
988929,150,15000,126408,332
595934,200,20000,291425,224
284642,200,20000,137536,309
425537,50,5000,481674,132
200331,200,20000,390727,177
394646,200,20000,225343,106
963000,50,5000,356028,118
836807,150,15000,401600,113
614501,100,10000,153738,242
153695,50,5000,236846,343
253829,150,15000,422295,59
899666,50,5000,206168,324
817270,200,20000,252445,294
465795,50,5000,256852,26
744951,50,5000,109534,166
771510,50,5000,475776,228
786292,100,10000,183942,241
431531,350,35000,227281,61
820397,150,15000,477946,78
764852,50,5000,474134,93
972341,350,35000,139261,59
725585,350,35000,232063,336
631289,200,20000,358747,282
388336,100,10000,228784,320
939127,100,10000,162337,158
962293,200,20000,446039,279
285543,100,10000,140939,46
120103,100,10000,424250,2
554672,200,20000,384154,219
620790,200,20000,268919,152
279934,200,20000,430850,362
440506,350,35000,416576,140
125149,100,10000,413693,45
564646,350,35000,297380,56
651936,50,5000,493448,219
726322,350,35000,204532,245
971860,200,20000,205465,264
393261,150,15000,415677,304
563807,200,20000,309449,38
863102,50,5000,330121,362
750939,50,5000,370445,69
945494,350,35000,367996,83
796981,50,5000,419604,201
941691,200,20000,159521,341
370165,100,10000,381472,46
678230,50,5000,455041,206
201001,50,5000,225790,139
569780,50,5000,286685,302
548312,50,5000,392209,24
925174,200,20000,465601,43
810518,50,5000,243510,57
581691,350,35000,440523,143
981936,150,15000,311774,58
244675,50,5000,128320,25
445779,150,15000,370080,58
242685,50,5000,188244,180
975401,50,5000,110185,243
645292,100,10000,228538,216
410406,50,5000,455613,282
230459,100,10000,459991,199
472801,200,20000,145917,68
246704,100,10000,221716,83
965104,350,35000,236232,275
440942,50,5000,386671,254
512658,200,20000,281515,116
126779,100,10000,202084,6
668678,150,15000,402408,33
141486,200,20000,355862,50
705269,50,5000,369616,7
752760,100,10000,489186,118
305070,100,10000,192528,123
600579,200,20000,331280,361
138741,50,5000,493546,279
240358,50,5000,309355,185
870575,150,15000,366037,110
500541,150,15000,136220,289
583414,200,20000,181828,266
621697,100,10000,108991,228
328857,200,20000,264571,348
911466,50,5000,405071,340
613112,100,10000,336794,72
414593,200,20000,440077,124
940266,350,35000,149694,4
694426,150,15000,347697,27
319030,50,5000,387742,179
833338,350,35000,458414,327
626626,100,10000,189225,53
562294,150,15000,315257,285
509646,100,10000,306762,32
953046,150,15000,315792,78
864616,200,20000,253091,310
795290,100,10000,158851,328
717839,100,10000,158882,326
954233,200,20000,318229,134
842976,100,10000,413493,199
903987,350,35000,156759,241
998496,150,15000,366133,29
866818,100,10000,464709,193
787652,350,35000,477327,258
704180,150,15000,156012,148
414804,150,15000,468614,48
754471,100,10000,198406,187
498657,50,5000,322099,275
805661,100,10000,360487,210
780756,100,10000,306435,112
696727,200,20000,142064,215
648286,150,15000,423360,63
657440,200,20000,162777,268
970911,200,20000,464562,46
961312,350,35000,318361,170
848855,350,35000,345246,279
943055,50,5000,103440,55
533404,100,10000,201349,19
938270,150,15000,400572,170
438393,200,20000,324276,180
316242,200,20000,423810,304
818153,150,15000,390830,197
134252,100,10000,225896,271
231001,50,5000,272620,54
488467,50,5000,170177,259
642134,350,35000,254024,196
942783,50,5000,472290,31
874254,200,20000,199760,44
518351,350,35000,344042,230
128764,200,20000,445384,317
353573,50,5000,438132,305
994994,100,10000,200560,339
476050,150,15000,395656,240
120311,200,20000,275547,326
616636,350,35000,377959,127
654870,350,35000,363260,363
789755,150,15000,263037,319
832099,150,15000,428051,228
640467,100,10000,141013,332
263460,200,20000,472380,158
554909,50,5000,395611,275
979959,150,15000,397524,24
781215,150,15000,360966,172
481140,150,15000,240546,361
744300,100,10000,186252,204
218177,50,5000,268504,1
118747,150,15000,484103,328
248387,50,5000,270618,114
756885,200,20000,320194,247
372677,150,15000,459590,237
412501,150,15000,240041,49
312308,150,15000,320511,162
728570,200,20000,273728,100
418010,350,35000,443867,27
921922,100,10000,393881,351
888926,350,35000,241516,82
250622,50,5000,459924,61
237023,350,35000,277326,348
225798,200,20000,107395,111
329669,100,10000,478824,108
316845,150,15000,485229,346
898154,350,35000,188225,79
111715,100,10000,459684,13
783614,50,5000,371026,6
800521,50,5000,364123,133
332122,150,15000,452891,108
115533,150,15000,149196,75
720162,150,15000,277984,169
232949,100,10000,189895,312
534901,100,10000,482314,289
542528,350,35000,460561,4
804104,200,20000,425066,210
423561,200,20000,498480,307
200967,350,35000,471572,224
836229,150,15000,438229,195
957803,200,20000,100419,187
381928,50,5000,442222,345
231627,100,10000,490948,169
465177,200,20000,361557,143
954110,200,20000,106274,339
546562,200,20000,306115,300
912339,150,15000,153635,273
260328,150,15000,389013,359
580095,50,5000,389828,147
619452,200,20000,470075,261
934270,200,20000,162667,267
465823,200,20000,325864,214
942356,50,5000,130407,40
235328,100,10000,143941,281
149231,50,5000,136108,108
662514,200,20000,110258,77
525012,150,15000,105533,250
707865,200,20000,325782,237
562192,50,5000,242810,127
128695,150,15000,233811,235
531291,50,5000,239237,281
327569,100,10000,140209,291
514882,100,10000,251036,127
493637,350,35000,215479,332
541393,50,5000,319133,215
701001,350,35000,436867,250
744636,100,10000,414168,189
991205,350,35000,265223,129
873683,200,20000,241251,145
712882,200,20000,366612,174
541087,200,20000,487215,32
101981,200,20000,341050,307
713037,350,35000,408223,285
348700,350,35000,144778,344
143314,100,10000,195919,175
495569,150,15000,402136,174
123680,100,10000,202089,342
159563,100,10000,345063,174
478073,150,15000,396248,246
557419,350,35000,482614,331
284911,150,15000,282533,275
230131,200,20000,485399,71
942372,150,15000,247610,195
864484,350,35000,384638,297
377727,50,5000,380680,269
722227,150,15000,295821,91
380646,100,10000,272228,2
861161,100,10000,152602,225
846731,50,5000,159839,225
372858,150,15000,101589,106
945159,100,10000,391879,251
900757,150,15000,132532,106
931700,350,35000,103603,227
231218,100,10000,481137,76
315841,200,20000,253184,291
784489,150,15000,215598,156
934071,200,20000,186709,211
365780,100,10000,130851,296
631818,350,35000,183407,260
498804,150,15000,367541,61
105250,150,15000,228810,2
451206,350,35000,179364,160
211757,150,15000,433774,41
598047,150,15000,378190,41
809876,50,5000,324637,273
131299,50,5000,480274,321
167768,350,35000,304231,205
836736,350,35000,106419,213
376932,50,5000,457965,217
896345,100,10000,353047,169
130402,350,35000,223438,56
955480,200,20000,382361,176
913901,150,15000,335950,319
252801,100,10000,313132,73
252159,350,35000,139575,4
273920,350,35000,316136,97
745083,200,20000,174764,40
751826,50,5000,147872,130
301655,150,15000,303175,313
810351,150,15000,332589,358
482880,50,5000,485915,342
819339,150,15000,317168,7
645358,50,5000,304439,321
536890,150,15000,453322,263
157670,150,15000,443099,347
105457,350,35000,352338,217
382395,350,35000,457610,131
649048,200,20000,196206,231
459645,100,10000,487126,126
790430,200,20000,119069,93
378920,200,20000,349594,253
331238,150,15000,439860,158
248919,350,35000,492959,90
536268,200,20000,193588,294
144903,150,15000,171206,207
243692,200,20000,160481,19
427681,200,20000,234116,174
112769,100,10000,103007,15
595241,200,20000,401446,22
523174,50,5000,476335,25
998042,350,35000,487551,39
741836,350,35000,430285,158
510513,150,15000,401040,105
882401,150,15000,241166,234
987184,100,10000,401062,62
258538,50,5000,482318,144
998380,100,10000,165150,25
600501,350,35000,229899,182
653868,150,15000,417598,318
626428,350,35000,355937,84
267545,200,20000,316142,99
957718,100,10000,215981,67
725000,350,35000,420835,95
713602,200,20000,340725,19
256443,100,10000,347726,346
895485,200,20000,341222,63
251469,200,20000,420005,89
722665,150,15000,301922,359
548594,50,5000,454012,30
828232,350,35000,219447,52
614926,100,10000,213670,180
461794,350,35000,149535,350
758470,350,35000,416039,121
987664,50,5000,398958,124
113048,150,15000,155075,159
211442,350,35000,476237,25
259655,50,5000,193420,306
644430,350,35000,377435,259
261736,150,15000,434108,45
938680,100,10000,231924,52
600317,150,15000,362451,278
299825,150,15000,460401,43
371449,350,35000,109645,123
579729,200,20000,111242,341
241279,200,20000,141558,281
237202,150,15000,390937,290
303403,350,35000,171358,73
273597,150,15000,149036,268
791802,100,10000,161024,68
956627,200,20000,145611,1
544202,200,20000,159106,255
493430,100,10000,187767,96
294775,150,15000,422168,280
818608,350,35000,341462,5
585541,200,20000,380485,126
461970,150,15000,225984,303
743932,100,10000,391238,272
537731,350,35000,119032,337
577914,50,5000,303020,209
634170,100,10000,474256,226
402470,100,10000,448761,255
972240,100,10000,379504,273
607249,350,35000,406313,187
247083,100,10000,484264,259
800651,200,20000,120114,284
123865,150,15000,136056,20
110996,200,20000,176808,141
674152,200,20000,211111,166
318326,50,5000,422605,356
759226,150,15000,438782,155
563887,50,5000,300113,282
285904,200,20000,191518,328
789093,350,35000,435169,3
343493,100,10000,464085,307
419267,50,5000,117124,118
421579,100,10000,270901,6
161946,100,10000,421101,33
340897,200,20000,297390,235
992022,150,15000,493142,185
212463,350,35000,303214,178
684656,150,15000,322809,40
352148,200,20000,398564,85
750374,150,15000,412392,361
573712,200,20000,257299,101
989114,350,35000,361818,151
617008,50,5000,247972,324
365540,150,15000,273234,319
846046,100,10000,496034,358
655048,50,5000,218118,75
794607,100,10000,333534,358
839452,350,35000,489688,233
459728,200,20000,370288,299
834893,100,10000,181233,289
874158,200,20000,474040,126
686041,350,35000,436982,209
290552,200,20000,497330,266
794857,50,5000,406269,187
439774,350,35000,381812,184
377759,100,10000,495881,203
388990,350,35000,243230,364
996855,200,20000,322857,19
177548,100,10000,387570,272
980037,50,5000,463089,99
116684,150,15000,224176,308
141902,50,5000,313432,303
762198,100,10000,129990,305
451553,50,5000,192465,144
339300,200,20000,425709,243
969132,200,20000,207767,181
283576,50,5000,258700,22
412372,200,20000,173170,288
559530,50,5000,365198,18
195676,150,15000,476324,274
665140,100,10000,318485,55
615208,100,10000,420830,130
688584,50,5000,163476,342
373554,100,10000,437865,291
684067,350,35000,468917,263
857408,50,5000,335260,8
421112,350,35000,255303,145
801221,100,10000,230563,349
485884,200,20000,213779,68
526062,150,15000,270009,132
528428,150,15000,266673,60
698271,50,5000,326872,26
351796,200,20000,405884,53
255042,350,35000,304799,57
282082,200,20000,195155,252
568035,150,15000,186212,356
836590,350,35000,186668,68
629995,350,35000,370211,341
904672,50,5000,381184,340
350958,100,10000,218037,236
532515,200,20000,325314,167
330589,50,5000,239791,179
745260,200,20000,143947,197
625656,150,15000,223896,1
703594,150,15000,122989,110
550191,150,15000,465077,154
633516,50,5000,398680,291
958150,100,10000,484743,157
546772,150,15000,174716,352
609761,150,15000,275277,37
994724,100,10000,157719,270
794743,50,5000,198092,177
248571,50,5000,252593,148
860555,350,35000,294960,275
585796,50,5000,349416,345
434477,50,5000,438390,124
134262,350,35000,296626,190
172440,150,15000,298489,32
168887,200,20000,482642,72
762737,200,20000,239613,130
175407,350,35000,155710,287
359880,350,35000,224555,255
530686,150,15000,444869,238
239454,350,35000,382578,177
307794,150,15000,130100,194
427789,50,5000,485067,159
722691,100,10000,168564,247
829304,200,20000,401024,288
840040,50,5000,312120,9
998505,150,15000,125335,180
636725,350,35000,414589,353
604994,50,5000,216358,276
917180,50,5000,153821,157
952642,100,10000,400363,129
564632,50,5000,244568,92
895925,50,5000,308074,95
582570,350,35000,250902,116
126895,350,35000,298726,99
133090,100,10000,160758,294
668041,100,10000,223980,177
138980,150,15000,430223,20
955063,50,5000,414774,346
274439,150,15000,299524,184
914511,350,35000,465130,103
639744,200,20000,132483,205
879945,50,5000,140589,154
716681,50,5000,205371,259
940869,350,35000,195833,143
534223,50,5000,180136,246
325317,150,15000,448154,55
812935,350,35000,442133,4
521986,350,35000,343359,20
824376,50,5000,316788,133
704956,150,15000,486078,170
596649,200,20000,494004,200
458252,200,20000,413737,56
236555,50,5000,226327,146
535584,150,15000,427348,358
816184,100,10000,119696,140
606875,50,5000,132189,36
199523,50,5000,173944,124
808267,200,20000,148934,43
824692,150,15000,315586,272
378541,50,5000,160749,168
466873,50,5000,240858,20
638799,100,10000,112869,223
509069,50,5000,102207,89
924882,50,5000,286958,60
398131,150,15000,235136,308
637423,150,15000,168588,223
281329,200,20000,465826,349
712322,200,20000,354246,187
818287,50,5000,482600,192
962546,150,15000,112329,3
286288,100,10000,196004,365
752527,50,5000,189459,250
983637,50,5000,218857,12
298347,200,20000,322075,178
425353,350,35000,324599,70
235069,200,20000,332542,326
749666,200,20000,164918,256
596213,100,10000,366404,99
542442,150,15000,416044,60
986490,50,5000,327493,209
931450,50,5000,420675,189
418764,100,10000,233656,94
195327,200,20000,175402,258
690839,100,10000,396873,74
213624,150,15000,201682,64
506469,100,10000,405536,54
289158,100,10000,202290,56
778635,350,35000,279106,124
465929,200,20000,472200,230
307214,100,10000,237230,334
254511,150,15000,377316,91
772049,150,15000,172679,93
567618,350,35000,360117,3
514873,100,10000,280612,129
294308,350,35000,194992,236
745476,150,15000,409601,173
278100,150,15000,397785,256
666815,150,15000,366357,285
682306,200,20000,432854,358
876279,200,20000,378330,358
889010,350,35000,136297,5
516623,150,15000,437901,76
801302,50,5000,313291,270
194629,150,15000,427568,31
207411,50,5000,434823,214
454794,100,10000,332435,181
945827,50,5000,463794,213
481269,350,35000,143753,107
996993,100,10000,369158,92
364610,200,20000,312565,292
713981,200,20000,165639,90
575969,50,5000,287882,168
358814,150,15000,451302,285
986021,350,35000,137236,197
848869,100,10000,452247,217
312262,50,5000,259189,307
227558,100,10000,341731,175
345549,50,5000,153503,226
324859,200,20000,408601,226
922737,50,5000,316137,278
505603,200,20000,395339,42
354111,200,20000,153584,295
769691,50,5000,172945,306
524825,350,35000,254061,12
748254,350,35000,250508,36
315460,350,35000,125234,79
491785,100,10000,224380,279
618769,100,10000,232132,192
443634,100,10000,297568,282
413706,200,20000,262613,89
472759,100,10000,454316,226
509953,150,15000,290784,141
659693,150,15000,184328,189
342627,350,35000,359344,307
771166,200,20000,373325,335
825334,200,20000,331291,329
368781,50,5000,368139,180
811323,350,35000,176822,90
336598,100,10000,478107,280
586977,350,35000,100006,365
777233,350,35000,430277,111
856426,100,10000,154256,88
644264,100,10000,486640,312
491457,200,20000,262367,273
990332,350,35000,122513,310
322211,350,35000,466420,138
148195,200,20000,331809,253
360025,150,15000,111210,137
515554,200,20000,430766,21
865598,350,35000,210931,233
990306,150,15000,117135,203
474249,350,35000,244973,24
374408,350,35000,157700,235
949076,100,10000,455276,252
880823,350,35000,334127,140
869679,200,20000,100607,29
874946,100,10000,358602,150
696425,150,15000,443314,347
406044,50,5000,403555,173
660290,200,20000,490647,96
231880,150,15000,106100,178
512997,150,15000,483424,218
564775,100,10000,489707,262
